waktu,sensor_id,lokasi,pm25,pm10,suhu,kelembaban
2026-06-05 10:20:00,DB001,Jalan Tambang A,52.137,123.321,33.108,66.628
2026-06-05 10:25:00,DB001,Jalan Tambang A,61.9,125.014,34.16,67.864
2026-06-05 10:30:00,DB001,Jalan Tambang A,57.571,121.595,34.404,67.58
2026-06-05 10:35:00,DB001,Jalan Tambang A,54.058,118.31,33.396,70.009
2026-06-05 10:40:00,DB001,Jalan Tambang A,49.809,113.93,35.284,68.862
2026-06-05 10:45:00,DB001,Jalan Tambang A,42.119,97.712,32.993,74.206
2026-06-05 10:50:00,DB001,Jalan Tambang A,38.822,91.807,30.945,73.874
2026-06-05 10:55:00,DB001,Jalan Tambang A,43.249,100.129,31.245,71.659
2026-06-05 11:00:00,DB001,Jalan Tambang A,47.219,110.962,33.529,70.626
2026-06-05 11:05:00,DB001,Jalan Tambang A,54.439,121.327,33.179,70.742
2026-06-05 11:10:00,DB001,Jalan Tambang A,56.503,133.274,32.477,66.262
2026-06-05 11:15:00,DB001,Jalan Tambang A,66.263,156.85,32.34,69.595
2026-06-05 11:20:00,DB001,Jalan Tambang A,67.153,152.924,34.02,67.548
2026-06-05 11:25:00,DB001,Jalan Tambang A,78.162,168.173,33.526,63.798
2026-06-05 11:30:00,DB001,Jalan Tambang A,72.402,148.852,31.98,63.008
2026-06-05 11:35:00,DB001,Jalan Tambang A,62.609,144.824,33.59,68.851
2026-06-05 11:40:00,DB001,Jalan Tambang A,57.009,130.824,33.826,67.159
2026-06-05 11:45:00,DB001,Jalan Tambang A,50.914,114.876,32.225,67.946
2026-06-05 11:50:00,DB001,Jalan Tambang A,43.8,110.104,31.792,70.035
2026-06-05 11:55:00,DB001,Jalan Tambang A,41.788,98.733,32.954,70.72
2026-06-05 12:00:00,DB001,Jalan Tambang A,37.357,88.716,29.747,67.832
2026-06-05 12:05:00,DB001,Jalan Tambang A,34.095,80.649,32.309,69.392
2026-06-05 12:10:00,DB001,Jalan Tambang A,34.471,86.261,31.051,74.124
2026-06-05 12:15:00,DB001,Jalan Tambang A,36.581,90.252,30.592,70.037
2026-06-05 12:20:00,DB001,Jalan Tambang A,46.513,97.745,32.658,70.666
2026-06-05 12:25:00,DB001,Jalan Tambang A,50.764,111.175,32.594,67.539
2026-06-05 12:30:00,DB001,Jalan Tambang A,61.568,130.114,35.114,67.349
2026-06-05 12:35:00,DB001,Jalan Tambang A,55.625,125.896,33.089,71.697
2026-06-05 12:40:00,DB001,Jalan Tambang A,56.837,121.713,34.614,65.719
2026-06-05 12:45:00,DB001,Jalan Tambang A,47.746,107.849,31.993,66.145
2026-06-05 12:50:00,DB001,Jalan Tambang A,44.092,100.102,30.306,68.116
2026-06-05 12:55:00,DB001,Jalan Tambang A,39.489,98.185,34.556,80.392
2026-06-05 13:00:00,DB001,Jalan Tambang A,42.696,94.121,29.362,71.76
2026-06-05 13:05:00,DB001,Jalan Tambang A,45.472,108.172,31.607,69.606
2026-06-05 13:10:00,DB001,Jalan Tambang A,55.26,121.76,32.592,66.142
2026-06-05 13:15:00,DB001,Jalan Tambang A,55.981,132.374,33.029,72.809
2026-06-05 13:20:00,DB001,Jalan Tambang A,67.349,153.818,32.831,63.824
2026-06-05 13:25:00,DB001,Jalan Tambang A,69.22,150.504,36.678,63.832
2026-06-05 13:30:00,DB001,Jalan Tambang A,78.549,157.113,35.267,66.001
2026-06-05 13:35:00,DB001,Jalan Tambang A,69.561,149.755,32.817,67.178
2026-06-05 13:40:00,DB001,Jalan Tambang A,63.817,135.039,31.693,67.463
2026-06-05 13:45:00,DB001,Jalan Tambang A,61.663,130.832,32.843,68.777
2026-06-05 13:50:00,DB001,Jalan Tambang A,52.612,119.035,32.163,72.053
2026-06-05 13:55:00,DB001,Jalan Tambang A,46.789,114.634,32.637,66.571
2026-06-05 14:00:00,DB001,Jalan Tambang A,38.756,103.406,34.313,70.49
2026-06-05 14:05:00,DB001,Jalan Tambang A,37.418,94.203,30.487,69.423
2026-06-05 14:10:00,DB001,Jalan Tambang A,36.926,82.674,31.793,71.529
2026-06-05 14:15:00,DB001,Jalan Tambang A,35.473,86.617,31.614,73.855
2026-06-05 14:20:00,DB001,Jalan Tambang A,34.884,90.823,30.727,67.539
2026-06-05 14:25:00,DB001,Jalan Tambang A,43.419,103.597,33.276,66.286
2026-06-05 14:30:00,DB001,Jalan Tambang A,52.064,115.715,32.074,71.768
2026-06-05 14:35:00,DB001,Jalan Tambang A,62.313,136.954,32.796,66.107
2026-06-05 14:40:00,DB001,Jalan Tambang A,57.481,126.212,33.032,65.05
2026-06-05 14:45:00,DB001,Jalan Tambang A,55.199,121.095,35.993,74.18
2026-06-05 14:50:00,DB001,Jalan Tambang A,47.328,110.713,30.598,68.346
2026-06-05 14:55:00,DB001,Jalan Tambang A,43.543,105.872,31.261,69.142
2026-06-05 15:00:00,DB001,Jalan Tambang A,35.65,94.382,30.64,70.475
2026-06-05 15:05:00,DB001,Jalan Tambang A,40.527,97.63,29.843,66.834
2026-06-05 15:10:00,DB001,Jalan Tambang A,51.003,104.335,30.979,75.143
2026-06-05 15:15:00,DB001,Jalan Tambang A,59.159,115.33,32.317,69.943
2026-06-05 15:20:00,DB001,Jalan Tambang A,64.149,129.671,32.775,70.114
2026-06-05 15:25:00,DB001,Jalan Tambang A,68.165,145.773,33.321,63.315
2026-06-05 15:30:00,DB001,Jalan Tambang A,71.314,153.348,34.114,64.534
2026-06-05 15:35:00,DB001,Jalan Tambang A,77.433,169.603,34.211,65.915
2026-06-05 15:40:00,DB001,Jalan Tambang A,70.149,150.001,32.727,66.836
2026-06-05 15:45:00,DB001,Jalan Tambang A,64.747,153.889,35.502,68.034
2026-06-05 15:50:00,DB001,Jalan Tambang A,56.23,124.215,34.572,68.715
2026-06-05 15:55:00,DB001,Jalan Tambang A,50.96,109.766,33.913,70.254
2026-06-05 16:00:00,DB001,Jalan Tambang A,43.957,105.963,32.742,70.147
2026-06-05 16:05:00,DB001,Jalan Tambang A,40.521,96.598,31.776,71.433
2026-06-05 16:10:00,DB001,Jalan Tambang A,40.237,79.863,31.598,72.508
2026-06-05 16:15:00,DB001,Jalan Tambang A,36.426,82.75,29.565,72.945
2026-06-05 16:20:00,DB001,Jalan Tambang A,37.418,76.969,32.588,71.054
2026-06-05 16:25:00,DB001,Jalan Tambang A,37.907,87.167,31.375,74.692
2026-06-05 16:30:00,DB001,Jalan Tambang A,46.049,112.276,33.612,71.229
2026-06-05 16:35:00,DB001,Jalan Tambang A,55.627,120.072,33.576,68.181
2026-06-05 16:40:00,DB001,Jalan Tambang A,61.162,126.373,34.306,64.795
2026-06-05 16:45:00,DB001,Jalan Tambang A,59.815,124.047,34.337,70.042
2026-06-05 16:50:00,DB001,Jalan Tambang A,59.005,123.508,30.644,68.815
2026-06-05 16:55:00,DB001,Jalan Tambang A,46.703,109.678,34.465,71.785
2026-06-05 17:00:00,DB001,Jalan Tambang A,41.798,96.905,32.242,67.545
2026-06-05 17:05:00,DB001,Jalan Tambang A,37.953,96.186,33.479,73.753
2026-06-05 17:10:00,DB001,Jalan Tambang A,38.151,99.193,32.192,72.175
2026-06-05 17:15:00,DB001,Jalan Tambang A,50.038,100.922,31.634,71.655
2026-06-05 17:20:00,DB001,Jalan Tambang A,49.647,128.144,33.283,71.337
2026-06-05 17:25:00,DB001,Jalan Tambang A,58.63,139.394,34.515,68.633
2026-06-05 17:30:00,DB001,Jalan Tambang A,67.628,149.6,32.343,66.605
2026-06-05 17:35:00,DB001,Jalan Tambang A,71.561,157.377,35.152,63.205
2026-06-05 17:40:00,DB001,Jalan Tambang A,75.62,172.659,32.989,62.862
2026-06-05 17:45:00,DB001,Jalan Tambang A,70.566,155.066,33.715,69.508
2026-06-05 17:50:00,DB001,Jalan Tambang A,67.228,146.782,34.14,73.238
2026-06-05 17:55:00,DB001,Jalan Tambang A,57.524,119.582,35.118,66.755
2026-06-05 18:00:00,DB001,Jalan Tambang A,50.216,124.181,30.604,65.545
2026-06-05 18:05:00,DB001,Jalan Tambang A,43.054,104.569,32.97,71.468
2026-06-05 18:10:00,DB001,Jalan Tambang A,41.453,91.518,29.134,71.154
2026-06-05 18:15:00,DB001,Jalan Tambang A,37.283,90.635,32.796,72.398
2026-06-05 18:20:00,DB001,Jalan Tambang A,37.095,84.77,32.474,69.971
2026-06-05 18:25:00,DB001,Jalan Tambang A,34.749,82.645,32.534,70.866
2026-06-05 18:30:00,DB001,Jalan Tambang A,38.792,90.032,31.65,73.356
2026-06-05 18:35:00,DB001,Jalan Tambang A,41.412,99.555,30.197,63.466
2026-06-05 18:40:00,DB001,Jalan Tambang A,50.589,121.537,32.13,69.546
2026-06-05 18:45:00,DB001,Jalan Tambang A,63.658,136.904,32.909,71.682
2026-06-05 18:50:00,DB001,Jalan Tambang A,58.214,120.813,32.02,63.973
2026-06-05 18:55:00,DB001,Jalan Tambang A,53.046,118.282,33.751,73.749
2026-06-05 19:00:00,DB001,Jalan Tambang A,46.291,113.76,31.147,71.329
2026-06-05 19:05:00,DB001,Jalan Tambang A,42.775,93.603,33.396,69.282
2026-06-05 19:10:00,DB001,Jalan Tambang A,38.167,90.935,31.163,73.232
2026-06-05 19:15:00,DB001,Jalan Tambang A,41.682,99.288,32.565,74.751
2026-06-05 19:20:00,DB001,Jalan Tambang A,46.356,103.502,33.783,69.072
2026-06-05 19:25:00,DB001,Jalan Tambang A,55.363,122.856,32.628,69.963
2026-06-05 19:30:00,DB001,Jalan Tambang A,64.682,146.216,33.192,68.436
2026-06-05 19:35:00,DB001,Jalan Tambang A,69.884,142.994,33.946,66.931
2026-06-05 19:40:00,DB001,Jalan Tambang A,72.904,149.833,31.651,60.527
2026-06-05 19:45:00,DB001,Jalan Tambang A,72.603,160.009,33.601,70.037
2026-06-05 19:50:00,DB001,Jalan Tambang A,73.097,144.227,34.169,64.925
2026-06-05 19:55:00,DB001,Jalan Tambang A,64.261,143.053,34.227,66.091
2026-06-05 20:00:00,DB001,Jalan Tambang A,60.468,124.062,33.008,75.066
2026-06-05 20:05:00,DB001,Jalan Tambang A,50.446,124.765,32.82,70.603
2026-06-05 20:10:00,DB001,Jalan Tambang A,45.896,107.264,31.39,71.205
2026-06-05 20:15:00,DB001,Jalan Tambang A,39.603,99.582,33.494,72.041
2026-06-05 20:20:00,DB001,Jalan Tambang A,37.565,90.616,31.506,74.694
2026-06-05 20:25:00,DB001,Jalan Tambang A,33.363,82.872,29.268,67.694
2026-06-05 20:30:00,DB001,Jalan Tambang A,36.909,84.936,30.593,67.673
2026-06-05 20:35:00,DB001,Jalan Tambang A,33.494,89.022,34.879,72.235
2026-06-05 20:40:00,DB001,Jalan Tambang A,43.993,106.953,30.096,69.167
2026-06-05 20:45:00,DB001,Jalan Tambang A,52.207,117.594,33.528,69.951
2026-06-05 20:50:00,DB001,Jalan Tambang A,62.631,126.42,34.185,72.431
2026-06-05 20:55:00,DB001,Jalan Tambang A,55.749,120.562,34.553,67.48
2026-06-05 21:00:00,DB001,Jalan Tambang A,58.088,117.876,34.603,69.363
2026-06-05 21:05:00,DB001,Jalan Tambang A,49.506,119.01,32.03,67.365
2026-06-05 21:10:00,DB001,Jalan Tambang A,42.228,102.827,30.183,72.81
2026-06-05 21:15:00,DB001,Jalan Tambang A,38.16,99.362,28.935,69.735
2026-06-05 21:20:00,DB001,Jalan Tambang A,39.167,94.761,32.418,70.491
2026-06-05 21:25:00,DB001,Jalan Tambang A,46.524,109.3,32.664,67.176
2026-06-05 21:30:00,DB001,Jalan Tambang A,54.499,124.207,33.305,70.536
2026-06-05 21:35:00,DB001,Jalan Tambang A,60.711,145.989,32.985,67.165
2026-06-05 21:40:00,DB001,Jalan Tambang A,64.981,141.889,31.832,64.618
2026-06-05 21:45:00,DB001,Jalan Tambang A,71.796,157.073,33.869,63.979
2026-06-05 21:50:00,DB001,Jalan Tambang A,78.737,167.821,33.783,63.302
2026-06-05 21:55:00,DB001,Jalan Tambang A,71.536,151.128,31.748,65.821
2026-06-05 22:00:00,DB001,Jalan Tambang A,65.681,136.89,33.654,63.101
2026-06-05 22:05:00,DB001,Jalan Tambang A,61.1,136.489,32.667,68.989
2026-06-05 22:10:00,DB001,Jalan Tambang A,45.18,112.542,32.316,66.041
2026-06-05 22:15:00,DB001,Jalan Tambang A,47.314,116.628,30.875,67.655
2026-06-05 22:20:00,DB001,Jalan Tambang A,41.386,103.251,30.53,71.707
2026-06-05 22:25:00,DB001,Jalan Tambang A,40.768,83.12,30.265,70.78
2026-06-05 22:30:00,DB001,Jalan Tambang A,35.25,86.73,32.107,66.888
2026-06-05 22:35:00,DB001,Jalan Tambang A,35.722,80.106,33.106,70.193
2026-06-05 22:40:00,DB001,Jalan Tambang A,37.032,92.97,32.77,72.273
2026-06-05 22:45:00,DB001,Jalan Tambang A,41.966,107.26,30.772,70.659
2026-06-05 22:50:00,DB001,Jalan Tambang A,49.039,120.107,31.451,65.46
2026-06-05 22:55:00,DB001,Jalan Tambang A,62.742,131.257,32.19,71.947
2026-06-05 23:00:00,DB001,Jalan Tambang A,56.978,125.161,33.153,66.315
2026-06-05 23:05:00,DB001,Jalan Tambang A,56.036,117.439,32.162,72.761
2026-06-05 23:10:00,DB001,Jalan Tambang A,46.96,101.191,34.594,77.138
2026-06-05 23:15:00,DB001,Jalan Tambang A,42.303,93.175,31.8,70.187
2026-06-05 23:20:00,DB001,Jalan Tambang A,38.704,90.769,32.742,73.511
2026-06-05 23:25:00,DB001,Jalan Tambang A,39.489,100.741,34.736,71.488
2026-06-05 23:30:00,DB001,Jalan Tambang A,46.366,109.375,33.197,65.154
2026-06-05 23:35:00,DB001,Jalan Tambang A,53.349,119.11,35.224,68.519
2026-06-05 23:40:00,DB001,Jalan Tambang A,64.003,129.04,33.878,68.869
2026-06-05 23:45:00,DB001,Jalan Tambang A,64.671,149.05,35.125,66.132
2026-06-05 23:50:00,DB001,Jalan Tambang A,67.127,154.891,32.58,65.096
2026-06-05 23:55:00,DB001,Jalan Tambang A,75.752,151.879,31.803,66.253
2026-06-06 00:00:00,DB001,Jalan Tambang A,68.536,134.612,34.758,66.719
2026-06-06 00:05:00,DB001,Jalan Tambang A,63.144,134.52,34.517,67.936
2026-06-06 00:10:00,DB001,Jalan Tambang A,63.528,132.185,33.512,67.546
2026-06-06 00:15:00,DB001,Jalan Tambang A,51.634,120.95,34.337,67.561
2026-06-06 00:20:00,DB001,Jalan Tambang A,45.199,105.93,33.425,74.195
2026-06-06 00:25:00,DB001,Jalan Tambang A,40.248,95.352,32.503,70.302
2026-06-06 00:30:00,DB001,Jalan Tambang A,39.447,80.984,30.845,69.747
2026-06-06 00:35:00,DB001,Jalan Tambang A,32.659,80.762,30.636,71.421
2026-06-06 00:40:00,DB001,Jalan Tambang A,36.558,81.196,30.201,71.836
2026-06-06 00:45:00,DB001,Jalan Tambang A,39.595,87.448,30.642,72.586
2026-06-06 00:50:00,DB001,Jalan Tambang A,44.601,107.719,32.082,71.965
2026-06-06 00:55:00,DB001,Jalan Tambang A,49.847,117.943,32.226,65.644
2026-06-06 01:00:00,DB001,Jalan Tambang A,57.185,133.566,32.537,65.219
2026-06-06 01:05:00,DB001,Jalan Tambang A,57.777,130.64,29.808,63.929
2026-06-06 01:10:00,DB001,Jalan Tambang A,52.97,127.014,33.07,71.118
2026-06-06 01:15:00,DB001,Jalan Tambang A,46.765,106.984,33.082,70.163
2026-06-06 01:20:00,DB001,Jalan Tambang A,43.944,100.242,32.558,71.449
2026-06-06 01:25:00,DB001,Jalan Tambang A,40.213,98.067,29.927,65.528
2026-06-06 01:30:00,DB001,Jalan Tambang A,43.683,102.656,30.79,65.718
2026-06-06 01:35:00,DB001,Jalan Tambang A,47.186,114.096,34.73,71.446
2026-06-06 01:40:00,DB001,Jalan Tambang A,52.212,116.677,32.815,68.174
2026-06-06 01:45:00,DB001,Jalan Tambang A,57.564,146.063,35.464,71.09
2026-06-06 01:50:00,DB001,Jalan Tambang A,64.532,153.062,34.357,68.186
2026-06-06 01:55:00,DB001,Jalan Tambang A,75.599,158.939,34.8,67.681
2026-06-06 02:00:00,DB001,Jalan Tambang A,77.036,151.371,34.114,63.554
2026-06-06 02:05:00,DB001,Jalan Tambang A,66.416,160.091,36.031,69.588
2026-06-06 02:10:00,DB001,Jalan Tambang A,65.664,149.672,33.416,67.543
2026-06-06 02:15:00,DB001,Jalan Tambang A,55.463,132.064,33.08,64.457
2026-06-06 02:20:00,DB001,Jalan Tambang A,49.898,117.624,35.051,71.468
2026-06-06 02:25:00,DB001,Jalan Tambang A,46.021,109.075,32.457,69.432
2026-06-06 02:30:00,DB001,Jalan Tambang A,39.225,96.414,31.142,67.449
2026-06-06 02:35:00,DB001,Jalan Tambang A,38.777,90.393,29.62,71.647
2026-06-06 02:40:00,DB001,Jalan Tambang A,37.434,87.559,33.105,72.112
2026-06-06 02:45:00,DB001,Jalan Tambang A,33.817,78.445,31.934,73.092
2026-06-06 02:50:00,DB001,Jalan Tambang A,39.957,95.004,31.632,67.466
2026-06-06 02:55:00,DB001,Jalan Tambang A,44.426,105.912,31.841,68.382
2026-06-06 03:00:00,DB001,Jalan Tambang A,52.526,115.621,31.684,69.86
2026-06-06 03:05:00,DB001,Jalan Tambang A,60.019,131.269,33.361,64.901
2026-06-06 03:10:00,DB001,Jalan Tambang A,56.884,132.189,31.275,62.243
2026-06-06 03:15:00,DB001,Jalan Tambang A,50.904,120.14,32.74,68.675
2026-06-06 03:20:00,DB001,Jalan Tambang A,51.38,100.026,33.015,74.372
2026-06-06 03:25:00,DB001,Jalan Tambang A,41.06,99.466,31.23,68.46
2026-06-06 03:30:00,DB001,Jalan Tambang A,38.491,100.424,34.352,71.032
2026-06-06 03:35:00,DB001,Jalan Tambang A,45.201,98.139,34.352,70.735
2026-06-06 03:40:00,DB001,Jalan Tambang A,47.246,111.608,36.52,72.384
2026-06-06 03:45:00,DB001,Jalan Tambang A,51.501,125.69,32.325,67.648
2026-06-06 03:50:00,DB001,Jalan Tambang A,62.181,135.168,33.469,68.038
2026-06-06 03:55:00,DB001,Jalan Tambang A,67.902,150.516,30.904,68.786
2026-06-06 04:00:00,DB001,Jalan Tambang A,69.172,146.058,33.721,66.222
2026-06-06 04:05:00,DB001,Jalan Tambang A,73.892,168.418,32.175,63.942
2026-06-06 04:10:00,DB001,Jalan Tambang A,68.362,149.72,34.076,63.339
2026-06-06 04:15:00,DB001,Jalan Tambang A,66.883,142.358,30.872,61.751
2026-06-06 04:20:00,DB001,Jalan Tambang A,57.971,128.851,32.863,67.924
2026-06-06 04:25:00,DB001,Jalan Tambang A,50.451,122.473,31.247,65.765
2026-06-06 04:30:00,DB001,Jalan Tambang A,43.988,109.248,34.013,68.792
2026-06-06 04:35:00,DB001,Jalan Tambang A,36.897,90.389,31.03,69.416
2026-06-06 04:40:00,DB001,Jalan Tambang A,37.379,89.137,31.502,75.022
2026-06-06 04:45:00,DB001,Jalan Tambang A,35.027,81.103,32.409,67.577
2026-06-06 04:50:00,DB001,Jalan Tambang A,35.546,82.336,31.314,76.574
2026-06-06 04:55:00,DB001,Jalan Tambang A,37.054,98.499,31.513,67.373
2026-06-06 05:00:00,DB001,Jalan Tambang A,45.126,100.48,31.135,71.112
2026-06-06 05:05:00,DB001,Jalan Tambang A,53.156,115.063,33.784,72.195
2026-06-06 05:10:00,DB001,Jalan Tambang A,64.505,132.753,34.8,62.884
2026-06-06 05:15:00,DB001,Jalan Tambang A,57.262,120.665,32.956,66.446
2026-06-06 05:20:00,DB001,Jalan Tambang A,54.634,129.034,32.478,70.142
2026-06-06 05:25:00,DB001,Jalan Tambang A,48.545,112.339,32.508,71.255
2026-06-06 05:30:00,DB001,Jalan Tambang A,45.004,107.655,32.599,72.674
2026-06-06 05:35:00,DB001,Jalan Tambang A,37.205,94.666,33.204,74.494
2026-06-06 05:40:00,DB001,Jalan Tambang A,42.356,101.475,32.73,74.409
2026-06-06 05:45:00,DB001,Jalan Tambang A,47.544,108.435,32.835,61.794
2026-06-06 05:50:00,DB001,Jalan Tambang A,53.812,103.342,30.539,70.247
2026-06-06 05:55:00,DB001,Jalan Tambang A,61.146,128.723,32.157,71.728
2026-06-06 06:00:00,DB001,Jalan Tambang A,65.703,161.278,33.497,68.094
2026-06-06 06:05:00,DB001,Jalan Tambang A,76.657,155.812,32.445,65.71
2026-06-06 06:10:00,DB001,Jalan Tambang A,75.892,154.102,33.652,63.07
2026-06-06 06:15:00,DB001,Jalan Tambang A,72.588,150.208,33.319,65.72
2026-06-06 06:20:00,DB001,Jalan Tambang A,65.58,145.504,32.064,64.209
2026-06-06 06:25:00,DB001,Jalan Tambang A,60.563,127.856,31.13,69.207
2026-06-06 06:30:00,DB001,Jalan Tambang A,50.927,110.775,33.0,71.03
2026-06-06 06:35:00,DB001,Jalan Tambang A,46.689,110.73,30.58,70.927
2026-06-06 06:40:00,DB001,Jalan Tambang A,40.504,95.127,33.218,75.201
2026-06-06 06:45:00,DB001,Jalan Tambang A,40.727,93.681,31.76,73.016
2026-06-06 06:50:00,DB001,Jalan Tambang A,37.104,84.407,31.966,74.372
2026-06-06 06:55:00,DB001,Jalan Tambang A,34.917,79.608,30.978,73.826
2026-06-06 07:00:00,DB001,Jalan Tambang A,38.005,92.238,32.652,69.935
2026-06-06 07:05:00,DB001,Jalan Tambang A,46.361,106.591,30.514,74.038
2026-06-06 07:10:00,DB001,Jalan Tambang A,50.958,110.188,31.141,66.182
2026-06-06 07:15:00,DB001,Jalan Tambang A,61.127,128.576,32.555,69.686
2026-06-06 07:20:00,DB001,Jalan Tambang A,58.789,126.58,33.338,69.676
2026-06-06 07:25:00,DB001,Jalan Tambang A,50.363,118.251,29.848,69.1
2026-06-06 07:30:00,DB001,Jalan Tambang A,48.991,116.684,34.044,70.568
2026-06-06 07:35:00,DB001,Jalan Tambang A,42.139,102.96,31.52,70.996
2026-06-06 07:40:00,DB001,Jalan Tambang A,40.538,92.88,33.031,73.951
2026-06-06 07:45:00,DB001,Jalan Tambang A,40.396,101.818,32.997,71.289
2026-06-06 07:50:00,DB001,Jalan Tambang A,45.567,106.219,31.703,71.519
2026-06-06 07:55:00,DB001,Jalan Tambang A,50.974,123.118,31.171,68.437
2026-06-06 08:00:00,DB001,Jalan Tambang A,60.263,148.204,31.276,72.004
2026-06-06 08:05:00,DB001,Jalan Tambang A,67.402,150.434,33.659,68.192
2026-06-06 08:10:00,DB001,Jalan Tambang A,71.557,164.015,33.183,68.989
2026-06-06 08:15:00,DB001,Jalan Tambang A,74.041,162.607,32.542,66.183
2026-06-06 08:20:00,DB001,Jalan Tambang A,74.046,149.536,33.435,63.057
2026-06-06 08:25:00,DB001,Jalan Tambang A,64.404,132.953,32.18,67.608
2026-06-06 08:30:00,DB001,Jalan Tambang A,61.06,144.608,32.226,71.904
2026-06-06 08:35:00,DB001,Jalan Tambang A,50.488,117.286,33.266,69.171
2026-06-06 08:40:00,DB001,Jalan Tambang A,46.203,106.236,30.588,65.678
2026-06-06 08:45:00,DB001,Jalan Tambang A,42.071,95.926,31.335,71.024
2026-06-06 08:50:00,DB001,Jalan Tambang A,39.208,89.642,31.063,75.532
2026-06-06 08:55:00,DB001,Jalan Tambang A,38.274,85.662,33.038,75.577
2026-06-06 09:00:00,DB001,Jalan Tambang A,36.582,84.014,32.254,73.497
2026-06-06 09:05:00,DB001,Jalan Tambang A,36.332,93.551,30.075,68.743
2026-06-06 09:10:00,DB001,Jalan Tambang A,47.346,108.529,34.01,69.239
2026-06-06 09:15:00,DB001,Jalan Tambang A,49.603,116.865,32.633,69.218
2026-06-06 09:20:00,DB001,Jalan Tambang A,63.766,128.121,33.465,65.311
2026-06-06 09:25:00,DB001,Jalan Tambang A,59.045,125.016,31.816,67.359
2026-06-06 09:30:00,DB001,Jalan Tambang A,54.595,118.703,35.017,68.728
2026-06-06 09:35:00,DB001,Jalan Tambang A,48.522,102.603,31.338,69.263
2026-06-06 09:40:00,DB001,Jalan Tambang A,41.82,106.582,31.988,74.659
2026-06-06 09:45:00,DB001,Jalan Tambang A,39.096,95.141,31.886,72.011
2026-06-06 09:50:00,DB001,Jalan Tambang A,44.888,88.907,29.53,69.457
2026-06-06 09:55:00,DB001,Jalan Tambang A,47.027,113.036,33.013,68.924
2026-06-06 10:00:00,DB001,Jalan Tambang A,55.16,125.986,33.041,71.657
2026-06-06 10:05:00,DB001,Jalan Tambang A,60.654,131.968,34.024,68.301
2026-06-06 10:10:00,DB001,Jalan Tambang A,67.004,156.72,30.216,63.201
2026-06-06 10:15:00,DB001,Jalan Tambang A,68.581,152.748,33.456,62.021
2026-06-06 10:20:00,DB001,Jalan Tambang A,73.005,157.387,37.342,69.685
2026-06-06 10:25:00,DB001,Jalan Tambang A,68.847,147.819,32.151,60.963
2026-06-06 10:30:00,DB001,Jalan Tambang A,64.696,136.332,33.287,62.711
2026-06-06 10:35:00,DB001,Jalan Tambang A,56.232,130.773,33.483,69.136
2026-06-06 10:40:00,DB001,Jalan Tambang A,47.359,122.034,31.653,70.747
2026-06-06 10:45:00,DB001,Jalan Tambang A,45.98,102.054,31.99,71.023
2026-06-06 10:50:00,DB001,Jalan Tambang A,42.005,96.453,34.067,73.861
2026-06-06 10:55:00,DB001,Jalan Tambang A,37.61,91.67,34.368,77.646
